Channel Statistics Report
==================================================
Real-time Updates:

https://t.me/s/freestrongvpn.txt              | Total: 4    | Active: 4      | Failed: 0    | Percent: 100.0%
https://t.me/s/qrv2ray.txt                    | Total: 10   | Active: 4      | Failed: 6    | Percent: 40.0%
https://t.me/s/free1_vpn.txt                  | Total: 8    | Active: 2      | Failed: 6    | Percent: 25.0%
https://t.me/s/shokhmiplus.txt                | Total: 18   | Active: 4      | Failed: 14   | Percent: 22.2%
https://t.me/s/VmessProtocol.txt              | Total: 24   | Active: 4      | Failed: 20   | Percent: 16.7%
https://t.me/s/zede_filteri.txt               | Total: 6    | Active: 2      | Failed: 4    | Percent: 33.3%
https://t.me/s/vpn_tehran.txt                 | Total: 18   | Active: 14     | Failed: 4    | Percent: 77.8%
https://t.me/s/kingoclubs.txt                 | Total: 19   | Active: 11     | Failed: 8    | Percent: 57.9%
https://t.me/s/sinavm.txt                     | Total: 8    | Active: 4      | Failed: 4    | Percent: 50.0%
https://t.me/s/v2rayfree.txt                  | Total: 10   | Active: 2      | Failed: 8    | Percent: 20.0%
https://t.me/s/FarahVPN.txt                   | Total: 14   | Active: 0      | Failed: 14   | Percent: 0.0%
https://t.me/s/freeiranweb.txt                | Total: 2    | Active: 2      | Failed: 0    | Percent: 100.0%
https://t.me/s/free_nettm.txt                 | Total: 7    | Active: 2      | Failed: 5    | Percent: 28.6%
https://t.me/s/vpnowl.txt                     | Total: 30   | Active: 4      | Failed: 26   | Percent: 13.3%
https://t.me/s/gh_v2rayng.txt                 | Total: 18   | Active: 13     | Failed: 5    | Percent: 72.2%
https://t.me/s/azarbayjab1.txt                | Total: 15   | Active: 4      | Failed: 11   | Percent: 26.7%
https://t.me/s/zibanabz.txt                   | Total: 3    | Active: 2      | Failed: 1    | Percent: 66.7%
https://t.me/s/configV2rayForFree.txt         | Total: 8    | Active: 2      | Failed: 6    | Percent: 25.0%
https://t.me/s/v_2rayng0.txt                  | Total: 12   | Active: 1      | Failed: 11   | Percent: 8.3%
https://t.me/s/v2ray1_ng.txt                  | Total: 8    | Active: 4      | Failed: 4    | Percent: 50.0%
https://t.me/s/expressvpn_420.txt             | Total: 73   | Active: 10     | Failed: 63   | Percent: 13.7%
https://t.me/s/outline_ir.txt                 | Total: 22   | Active: 11     | Failed: 11   | Percent: 50.0%
https://t.me/s/configshub2.txt                | Total: 22   | Active: 9      | Failed: 13   | Percent: 40.9%
https://t.me/s/vmesskhodam.txt                | Total: 27   | Active: 0      | Failed: 27   | Percent: 0.0%
https://t.me/s/FreakConfig.txt                | Total: 8    | Active: 2      | Failed: 6    | Percent: 25.0%
https://t.me/s/WedBaZvpn.txt                  | Total: 13   | Active: 1      | Failed: 12   | Percent: 7.7%
https://t.me/s/Outline_Vpn.txt                | Total: 30   | Active: 18     | Failed: 12   | Percent: 60.0%
https://t.me/s/asak_vpn.txt                   | Total: 15   | Active: 3      | Failed: 12   | Percent: 20.0%
https://t.me/s/kingofilter.txt                | Total: 6    | Active: 2      | Failed: 4    | Percent: 33.3%
https://t.me/s/orange_vpns.txt                | Total: 4    | Active: 2      | Failed: 2    | Percent: 50.0%
https://t.me/s/proxy_mtproto_vpns_free.txt    | Total: 10   | Active: 2      | Failed: 8    | Percent: 20.0%
https://t.me/s/chv2raynp.txt                  | Total: 12   | Active: 3      | Failed: 9    | Percent: 25.0%
https://t.me/s/v2rayngfreee.txt               | Total: 9    | Active: 4      | Failed: 5    | Percent: 44.4%
https://t.me/s/configpluse.txt                | Total: 5    | Active: 4      | Failed: 1    | Percent: 80.0%
https://t.me/s/v2ray_sub.txt                  | Total: 3    | Active: 1      | Failed: 2    | Percent: 33.3%
https://t.me/s/meli_proxyy.txt                | Total: 12   | Active: 2      | Failed: 10   | Percent: 16.7%
https://t.me/s/v2ryorg.txt                    | Total: 14   | Active: 4      | Failed: 10   | Percent: 28.6%
https://t.me/s/satellitenewspersian.txt       | Total: 25   | Active: 17     | Failed: 8    | Percent: 68.0%
https://t.me/s/v2raying.txt                   | Total: 14   | Active: 1      | Failed: 13   | Percent: 7.1%
https://t.me/s/farahvpn.txt                   | Total: 14   | Active: 0      | Failed: 14   | Percent: 0.0%
https://t.me/s/vpn_ioss.txt                   | Total: 13   | Active: 11     | Failed: 2    | Percent: 84.6%
https://t.me/s/skivpn.txt                     | Total: 10   | Active: 10     | Failed: 0    | Percent: 100.0%
https://t.me/s/ConfigsHUB2.txt                | Total: 22   | Active: 9      | Failed: 13   | Percent: 40.9%
https://t.me/s/v2ry_proxy.txt                 | Total: 16   | Active: 8      | Failed: 8    | Percent: 50.0%
https://t.me/s/vpnplusee_free.txt             | Total: 22   | Active: 4      | Failed: 18   | Percent: 18.2%
https://t.me/s/selinc.txt                     | Total: 6    | Active: 5      | Failed: 1    | Percent: 83.3%
https://t.me/s/v2raytg.txt                    | Total: 26   | Active: 10     | Failed: 16   | Percent: 38.5%
https://t.me/s/kurdistan_vpn_perfectt.txt     | Total: 19   | Active: 14     | Failed: 5    | Percent: 73.7%
https://t.me/s/V2aryng_vpn.txt                | Total: 18   | Active: 6      | Failed: 12   | Percent: 33.3%
https://t.me/s/dr_v2ray.txt                   | Total: 29   | Active: 2      | Failed: 27   | Percent: 6.9%
https://t.me/s/v2mystery.txt                  | Total: 21   | Active: 13     | Failed: 8    | Percent: 61.9%
https://t.me/s/m_vipv2ray.txt                 | Total: 18   | Active: 2      | Failed: 16   | Percent: 11.1%
https://t.me/s/V2rayNG3.txt                   | Total: 52   | Active: 5      | Failed: 47   | Percent: 9.6%
https://t.me/s/vistav2ray.txt                 | Total: 13   | Active: 0      | Failed: 13   | Percent: 0.0%
https://t.me/s/v2ray_raha.txt                 | Total: 4    | Active: 2      | Failed: 2    | Percent: 50.0%
https://t.me/s/v2rayprotocol.txt              | Total: 22   | Active: 4      | Failed: 18   | Percent: 18.2%
https://t.me/s/v2rayvpn2.txt                  | Total: 2    | Active: 2      | Failed: 0    | Percent: 100.0%
https://t.me/s/NEW_MTProxi2.txt               | Total: 26   | Active: 12     | Failed: 14   | Percent: 46.2%
https://t.me/s/vmess_ir.txt                   | Total: 30   | Active: 16     | Failed: 14   | Percent: 53.3%
https://t.me/s/vpn4ir_1.txt                   | Total: 2    | Active: 0      | Failed: 2    | Percent: 0.0%
https://t.me/s/v2ray_best_iran.txt            | Total: 20   | Active: 0      | Failed: 20   | Percent: 0.0%
https://t.me/s/vmesc.txt                      | Total: 20   | Active: 11     | Failed: 9    | Percent: 55.0%
https://t.me/s/v2rayng_1378.txt               | Total: 10   | Active: 1      | Failed: 9    | Percent: 10.0%
https://t.me/s/artemisvpn1.txt                | Total: 4    | Active: 2      | Failed: 2    | Percent: 50.0%
https://t.me/s/V2ra_ng_iran.txt               | Total: 11   | Active: 0      | Failed: 11   | Percent: 0.0%
https://t.me/s/Hope_Net.txt                   | Total: 26   | Active: 14     | Failed: 12   | Percent: 53.8%
https://t.me/s/summertimeus.txt               | Total: 38   | Active: 4      | Failed: 34   | Percent: 10.5%
https://t.me/s/v2ray_ng.txt                   | Total: 52   | Active: 5      | Failed: 47   | Percent: 9.6%
https://t.me/s/V2rayng_Fast.txt               | Total: 12   | Active: 8      | Failed: 4    | Percent: 66.7%
https://t.me/s/vpnkanfik.txt                  | Total: 6    | Active: 4      | Failed: 2    | Percent: 66.7%
https://t.me/s/wxgmrjdcc.txt                  | Total: 8    | Active: 6      | Failed: 2    | Percent: 75.0%
https://t.me/s/outlinev2rayng.txt             | Total: 17   | Active: 17     | Failed: 0    | Percent: 100.0%
https://t.me/s/free_vpn_for_all_of_us.txt     | Total: 19   | Active: 1      | Failed: 18   | Percent: 5.3%


Final Ranking by Success Rate:
Channel                                       | Total  | Active | Failed | Success%
--------------------------------------------------------------------------------
https://t.me/s/freestrongvpn.txt              | 4      | 4      | 0      | 100.0%
https://t.me/s/freeiranweb.txt                | 2      | 2      | 0      | 100.0%
https://t.me/s/skivpn.txt                     | 10     | 10     | 0      | 100.0%
https://t.me/s/v2rayvpn2.txt                  | 2      | 2      | 0      | 100.0%
https://t.me/s/outlinev2rayng.txt             | 17     | 17     | 0      | 100.0%
https://t.me/s/vpn_ioss.txt                   | 13     | 11     | 2      | 84.6%
https://t.me/s/selinc.txt                     | 6      | 5      | 1      | 83.3%
https://t.me/s/configpluse.txt                | 5      | 4      | 1      | 80.0%
https://t.me/s/vpn_tehran.txt                 | 18     | 14     | 4      | 77.8%
https://t.me/s/wxgmrjdcc.txt                  | 8      | 6      | 2      | 75.0%
https://t.me/s/kurdistan_vpn_perfectt.txt     | 19     | 14     | 5      | 73.7%
https://t.me/s/gh_v2rayng.txt                 | 18     | 13     | 5      | 72.2%
https://t.me/s/satellitenewspersian.txt       | 25     | 17     | 8      | 68.0%
https://t.me/s/zibanabz.txt                   | 3      | 2      | 1      | 66.7%
https://t.me/s/V2rayng_Fast.txt               | 12     | 8      | 4      | 66.7%
https://t.me/s/vpnkanfik.txt                  | 6      | 4      | 2      | 66.7%
https://t.me/s/v2mystery.txt                  | 21     | 13     | 8      | 61.9%
https://t.me/s/Outline_Vpn.txt                | 30     | 18     | 12     | 60.0%
https://t.me/s/kingoclubs.txt                 | 19     | 11     | 8      | 57.9%
https://t.me/s/vmesc.txt                      | 20     | 11     | 9      | 55.0%
https://t.me/s/Hope_Net.txt                   | 26     | 14     | 12     | 53.8%
https://t.me/s/vmess_ir.txt                   | 30     | 16     | 14     | 53.3%
https://t.me/s/sinavm.txt                     | 8      | 4      | 4      | 50.0%
https://t.me/s/v2ray1_ng.txt                  | 8      | 4      | 4      | 50.0%
