=== Country Statistics ===
Total Servers (Merged): 3013
Successful Geo-IP Resolutions: 3012
Failed Geo-IP Resolutions: 1
Domain               : 793
Unknown              : 509
US                   : 312
DE                   : 255
GB                   : 128
FR                   : 114
NL                   : 99
JP                   : 96
LT                   : 84
FI                   : 84
SG                   : 63
CY                   : 61
RU                   : 58
CZ                   : 56
IR                   : 41
CN                   : 29
SE                   : 29
HK                   : 24
TR                   : 22
KR                   : 21
CA                   : 16
CH                   : 12
LV                   : 10
AT                   : 9
MD                   : 8
RO                   : 7
PL                   : 7
AE                   : 7
PH                   : 6
SI                   : 6
ES                   : 6
LU                   : 5
DK                   : 5
PT                   : 4
KZ                   : 3
VN                   : 3
IN                   : 2
IL                   : 2
SC                   : 2
JO                   : 1
EE                   : 1
AM                   : 1
AL                   : 1
BR                   : 1
IS                   : 1
GR                   : 1
UA                   : 1
IT                   : 1
TW                   : 1
MU                   : 1
AU                   : 1
IE                   : 1
CO                   : 1

=== Server Type Summary ===
VLESS                : 2121
SS                   : 469
VMESS                : 201
TROJAN               : 148
HYSTERIA2            : 45
WIREGUARD            : 25
WARP                 : 3
HYSTERIA             : 1
TUIC                 : 0

=== Channel Statistics (Extraction) ===
wxgmrjdcc                     : 256
prrofile_purple               : 131
v2rayng_1378                  : 116
Awlix_ir                      : 115
argooo_vpn                    : 109
fast_2ray                     : 106
asak_vpn                      : 94
Huiguo62                      : 89
huiguo62                      : 89
jiedianssr                    : 89
kingofilter                   : 79
Hope_Net                      : 77
gh_v2rayng                    : 77
shadowproxy66                 : 72
appsooner                     : 72
selinc                        : 71
free1_vpn                     : 71
vpn_tehran                    : 69
v2ryorg                       : 67
zede_filteri                  : 66
v2ry_proxy                    : 65
meli_proxyy                   : 64
satellitenewspersian          : 64
jiedianF                      : 61
V2ra_ng_iran                  : 60
v2rayprotocol                 : 60
v2ray1_ng                     : 56
jiujied                       : 55
shokhmiplus                   : 52
v2rayland02                   : 44
vpn_Nv1                       : 40
DailyV2RY                     : 38
ohvpn                         : 36
orange_vpns                   : 35
v2rayng_ip                    : 34
kingoclubs                    : 34
vmessprotocol                 : 33
v2raying                      : 30
vpncostumer                   : 29
proxy_v2box                   : 29
savagev2ray                   : 28
v2ray_sub                     : 28
melov2ray                     : 27
spikevpn                      : 26
azarbayjab1                   : 23
v2raytg                       : 23
kurdistan_vpn_perfectt        : 22
wedbazvpn                     : 21
vmess_ir                      : 20
configshub2                   : 20
lightning6                    : 19
gozargah_azadi                : 19
farahvpn                      : 19
outline_ir                    : 19
summertimeus                  : 19
vmesc                         : 19
v2range                       : 18
vmesskhodam                   : 17
dr_v2ray                      : 17
vpn_ioss                      : 17
payam_nsi                     : 16
vlessconfig                   : 16
netmellianti                  : 14
freakconfig2                  : 14
uvpn_org                      : 11
proxy_mtproto_vpns_free       : 11
vpn_ocean                     : 10
flyv2ray                      : 10
configpluse                   : 9
skivpn                        : 9
mahxray                       : 5
qrv2ray                       : 4
thevictorvpn                  : 4
v2mystery                     : 4
nofiltering2                  : 2
v2ray96                       : 2
vpnkanfik                     : 2
msv2raynp                     : 2
v2rayvpn2                     : 1
Freeiranweb                   : 1
rez1vpn                       : 1
v2ray_fast                    : 0
vpn_mafia                     : 0
v2ray_cartel                  : 0
v2ray_free                    : 0
suddaehi                      : 0
outline_vpn                   : 0
xvproxy                       : 0
